,Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
0,Arsenal,25,25,58.2,38,418,3420,38,86,62,148,76,10,10,64,2,76.1,68.5,55.3,123.8,821,2106,2.26,1.63,3.89,2,3.63,2,1.46,3.46,1.8,3.26
1,Aston Villa,31,26.9,53.1,38,418,3420,38,72,55,127,68,4,4,94,2,63.3,60.3,48.6,108.9,775,1451,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87
2,Bournemouth,30,25.7,44.4,38,418,3420,38,52,39,91,50,2,3,79,3,55.9,53.6,40.5,94,709,1314,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47
3,Brentford,28,26.6,45.2,38,418,3420,38,54,38,92,51,3,3,89,2,58.2,56,42.7,98.8,505,1283,1.42,1,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6
4,Brighton,30,25.9,59.8,38,418,3420,38,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47
5,Chelsea,32,24.2,58.6,38,418,3420,38,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06
6,Crystal Palace,26,26.7,42.3,38,418,3420,38,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21
7,Everton,26,27.1,40.8,38,418,3420,38,40,17,57,38,2,3,82,1,54,51.6,38.1,89.8,495,1129,1.05,0.45,1.5,1,1.45,1.42,1,2.43,1.36,2.36
8,Fulham,25,28.4,50.6,38,418,3420,38,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29
9,Liverpool,30,26.3,61.3,38,418,3420,38,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79
10,Manchester City,25,26.6,65.2,38,418,3420,38,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5
11,Manchester Utd,31,26.1,50.6,38,418,3420,38,57,36,93,51,6,7,83,1,56.4,50.9,40.1,91,759,1479,1.5,0.95,2.45,1.34,2.29,1.48,1.05,2.54,1.34,2.39
12,Newcastle Utd,32,27.2,52.2,38,418,3420,38,83,55,138,75,8,9,79,1,76.2,69.2,51.4,120.6,737,1557,2.18,1.45,3.63,1.97,3.42,2.01,1.35,3.36,1.82,3.17
13,Nott'ham Forest,33,25.7,40.6,38,418,3420,38,49,43,92,48,1,1,82,3,49.9,49.1,38,87.1,604,1140,1.29,1.13,2.42,1.26,2.39,1.31,1,2.31,1.29,2.29
14,Tottenham,29,25.2,61.6,38,418,3420,38,69,58,127,67,2,2,92,4,68.2,66.7,57.4,124.1,957,2107,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27
15,West Ham,26,28.3,41.1,38,418,3420,38,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19
16,Wolves,27,26.6,48.9,38,418,3420,38,47,36,83,43,4,4,102,4,46.7,43.6,31.8,75.4,671,1180,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,60.2,22.83,,83.03,,13,city,,,,,,,,,,,,,,,,
,,,,,,,,,2,50.4,18.99,,69.39,,1,arsenal,,,,,,,,,,,,,,,,
,,,,,,,,,3,36.4,16.77,,53.17,,11,liverpool,,,,,,,,,,,,,,,,
,,,,,,,,,4,37.8,17.46,,55.26,,15,newcastle,,,,,,,,,,,,,,,,
,,,,,,,,,5,35,17.04,,52.04,,7,chelsea,,,,,,,,,,,,,,,,
,,,,,,,,,6,28,12.18,,40.18,,2,aston villa,,,,,,,,,,,,,,,,
,,,,,,,,,7,53.2,22.35,,75.55,,18,spurs,,,,,,,,,,,,,,,,
,,,,,,,,,8,39.2,14.58,,53.78,,19,"west ham,",,,,,,,,,,,,,,,,
,,,,,,,,,9,28,16.2,,44.2,,14,united,,,,,,,,,,,,,,,,
,,,,,,,,,10,37.8,15.24,,53.04,,4,brentford,,,,,,,,,,,,,,,,
,,,,,,,,,11,56,26.34,,82.34,,8,palace,,,,,,,,,,,,,,,,
,,,,,,,,,12,34.3,12.72,,47.02,,3,bournmouth,,,,,,,,,,,,,,,,
,,,,,,,,,13,65.8,24.15,,89.95,,10,fulham,,,,,,,,,,,,,,,,
,,,,,,,,,14,39.9,16.92,,56.82,,5,brighton,,,,,,,,,,,,,,,,
,,,,,,,,,15,58.1,22.86,,80.96,,16,forest,,,,,,,,,,,,,,,,
,,,,,,,,,16,34.3,14.97,,49.27,,12,luton,,,,,,,,,,,,,,,,
,,,,,,,,,17,21.7,11.49,,33.19,,20,wolves,,,,,,,,,,,,,,,,
,,,,,,,,,18,48.3,20.46,,68.76,,9,everton,,,,,,,,,,,,,,,,
,,,,,,,,,19,40.6,15.69,,56.29,,6,burnely,,,,,,,,,,,,,,,,
,,,,,,,,,20,32.9,14.01,,46.91,,17,shelfield,,,,,,,,,,,,,,,,
