,R_k,S_q_u_a_d,#_ _P_l,W_e_e_k_l_y_ _W_a_g_e_s,A_n_n_u_a_l_ _W_a_g_e_s,%_ _E_s_t_i_m_a_t_e_d,,,,,,
0,1,Manchester Utd,57,"£ 3,956,846 (€ 4,597,795, $4,901,914)",254899502,24%,,,Arsenal,"205,692,637",205692637,85.46
1,2,Manchester City,48,"£ 3,866,000 (€ 4,492,233, $4,789,369)",249047207,34%,,,Aston Villa,"145,130,528",145130528,84.55
2,3,Arsenal,52,"£ 3,193,000 (€ 3,710,217, $3,955,628)",205692637,12%,,,Bournemouth,"66,642,349",66642349,79.07
3,4,Chelsea,60,"£ 3,020,000 (€ 3,509,194, $3,741,308)",194547997,51%,,,Brentford,"49,474,457",49474457,78.24
4,5,Liverpool,49,"£ 2,620,000 (€ 3,044,400, $3,245,770)",168780053,43%,,,Brighton,"77,303,838",77303838,74.95
5,6,Tottenham,61,"£ 2,260,000 (€ 2,626,086, $2,799,787)",145588902,38%,,,Chelsea,"194,547,997",194547997,65.91
6,7,Aston Villa,52,"£ 2,252,885 (€ 2,617,818, $2,790,972)",145130528,47%,,,Crystal Palace,"85,542,151",85542151,56.94
7,8,West Ham,46,"£ 1,833,000 (€ 2,129,918, $2,270,800)",118081612,29%,,,Everton,"97,841,390",97841390,56.58
8,9,Newcastle Utd,57,"£ 1,625,000 (€ 1,888,225, $2,013,121)",104682284,36%,,,Fulham,"82,618,478",82618478,54.76
9,10,Everton,46,"£ 1,518,808 (€ 1,764,831, $1,881,565)",97841390,52%,,,Liverpool,"168,780,053",168780053,54.73
10,11,Nott'ham Forest,72,"£ 1,385,577 (€ 1,610,019, $1,716,513)",89258679,85%,,,Manchester City,"249,047,207",249047207,51.76
11,12,Crystal Palace,53,"£ 1,327,885 (€ 1,542,982, $1,645,041)",85542151,61%,,,Manchester Utd,"254,899,502",254899502,50.82
12,13,Fulham,52,"£ 1,282,500 (€ 1,490,245, $1,588,817)",82618478,69%,,,Newcastle Utd,"104,682,284",104682284,49.8
13,14,Brighton,52,"£ 1,200,000 (€ 1,394,382, $1,486,612)",77303838,74%,,,Nott'ham Forest,"89,258,679",82258679,49.63
14,15,Wolves,49,"£ 1,035,000 (€ 1,202,654, $1,282,203)",66674561,73%,,,Tottenham,"145,588,902",145588902,44.38
15,16,Bournemouth,60,"£ 1,034,500 (€ 1,202,073, $1,281,584)",66642349,75%,,,West Ham,"118,081,612",118081612,40.42
16,17,Brentford,59,"£ 768,000 (€ 892,404, $951,432)",49474457,93%,,,Wolves,"66,674,561",66674561,36.11
17,18,Burnley,63,"£ 740,500 (€ 860,450, $917,364)",47702914,82%,,,,,,
18,19,Sheffield Utd,58,"£ 553,000 (€ 642,578, $685,081)",35624186,59%,,,,,,
19,20,Luton Town,55,"£ 472,500 (€ 549,038, $585,354)",30438387,89%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Combined Score,51423223.35,Arsenal,,,,,,,
,,,,36282695.41,Aston Villa,,,,,,,
,,,,16660646.55,Bournemouth,,,,,,,
,,,,12368672.93,Brentford,,,,,,,
,,,,19326015.71,Brighton,,,,,,,
,,,,11925779.83,Burnley,,,,,,,
,,,,48637048.68,Chelsea,,,,,,,
,,,,21385580.46,Crystal Palace,,,,,,,
,,,,24460389.94,Everton,,,,,,,
,,,,20654660.57,Fulham,,,,,,,
,,,,42195054.3,Liverpool,,,,,,,
,,,,7609637.258,Luton Town,,,,,,,
,,,,62261840.57,Manchester City,,,,,,,
,,,,63724913.62,Manchester Utd,,,,,,,
,,,,26170608.35,Newcastle Utd,,,,,,,
,,,,22314706.97,Nott'ham Forest,,,,,,,
,,,,8906081.593,Sheffield Utd,,,,,,,
,,,,36397258.79,Tottenham,,,,,,,
,,,,29520433.32,West Ham,,,,,,,
,,,,16668667.33,Wolves,,,,,,,
