,Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls
0,Arsenal,175,,36.36363636,36.36,,,,
1,Aston Villa,5000,,1.960784314,1.96,,,,
2,Bournemouth,30000,,0.332225914,0.33,,,,
3,Brentford,50000,,0.199600798,0.2,,,,
4,Brighton,10000,,0.99009901,0.99,,,,
5,Chelsea,2500,,3.846153846,3.85,,,,
6,Crystal Palace,20000,,0.497512438,0.5,,,,
7,Everton,70000,,0.142653352,0.14,,,,
8,Fulham,50000,,0.199600798,0.2,,,,
9,Liverpool,650,,13.33333333,13.33,,,,
10,Manchester City,110,,47.61904762,47.62,,,,
11,Manchester Utd,2000,,4.761904762,4.76,,,,
12,Newcastle Utd,3000,,3.225806452,3.23,,,,
13,Nott'ham Forest,100000,,0.0999001,0.1,,,,
14,Tottenham,2200,,4.347826087,4.35,,,,
15,West Ham,20000,,0.497512438,0.5,,,,
16,Wolves,50000,,0.199600798,0.2,,,,
